unique_id,ds,NLinear,actual,unique_id,ds,DLinear,actual,unique_id,ds,NBEATS,NHITS,actual,unique_id,ds,Informer,Autoformer,VanillaTransformer,actual
1,2023-01-04,44.056408,25,1,2023-01-04,39.870186,25,1,2023-01-04,37.353886,37.364494,25,1,2023-01-04,6.846998,47.89752,38.770157,25
1,2023-01-05,25.692972,20,1,2023-01-05,57.30315,20,1,2023-01-05,38.597466,37.762196,20,1,2023-01-05,6.847046,50.005653,38.659687,20
1,2023-01-06,47.591106,23,1,2023-01-06,49.889755,23,1,2023-01-06,41.43222,38.080345,23,1,2023-01-06,6.847102,48.838276,38.662445,23
1,2023-01-07,59.679085,39,1,2023-01-07,41.236332,39,1,2023-01-07,39.597614,39.24697,39,1,2023-01-07,6.847233,48.950638,38.74787,39
1,2023-01-08,57.068207,64,1,2023-01-08,43.85857,64,1,2023-01-08,37.793736,36.869778,64,1,2023-01-08,6.84729,49.97665,38.880295,64
1,2023-01-09,34.370464,38,1,2023-01-09,39.047577,38,1,2023-01-09,40.01454,37.70883,38,1,2023-01-09,6.843606,48.7378,38.188145,38
1,2022-12-14,58.014866,19,1,2022-12-14,38.295937,19,1,2022-12-14,36.009884,33.384384,19,1,2022-12-14,6.206688,45.9533,35.8676,19
1,2022-12-15,57.138412,30,1,2022-12-15,50.00071,30,1,2022-12-15,36.44145,33.651676,30,1,2022-12-15,6.493918,48.942787,38.40896,30
1,2022-12-16,62.310486,22,1,2022-12-16,41.60722,22,1,2022-12-16,38.594494,32.677586,22,1,2022-12-16,6.313614,46.296413,38.586044,22
1,2022-12-17,43.700382,37,1,2022-12-17,42.86598,37,1,2022-12-17,37.974617,33.72085,37,1,2022-12-17,6.237794,46.054344,38.855694,37
1,2022-12-18,56.56877,20,1,2022-12-18,38.550613,20,1,2022-12-18,34.418396,32.254818,20,1,2022-12-18,6.314468,46.828304,38.43093,20
1,2022-12-19,71.74902,29,1,2022-12-19,42.486526,29,1,2022-12-19,36.513916,34.946884,29,1,2022-12-19,6.764088,47.62549,37.62593,29
1,2022-12-20,40.076477,30,1,2022-12-20,37.902866,30,1,2022-12-20,31.070728,36.32111,30,1,2022-12-20,6.380614,46.97567,37.41673,30
1,2022-12-21,44.405342,35,1,2022-12-21,37.965927,35,1,2022-12-21,37.992237,35.085487,35,1,2022-12-21,6.755052,47.14867,37.396904,35
1,2022-12-22,42.693665,22,1,2022-12-22,53.31985,22,1,2022-12-22,38.978764,38.073242,22,1,2022-12-22,6.754918,47.924904,37.47628,22
1,2022-12-23,33.45909,28,1,2022-12-23,39.117146,28,1,2022-12-23,39.475517,36.122635,28,1,2022-12-23,6.754809,50.353226,37.670685,28
1,2022-12-24,51.431526,33,1,2022-12-24,45.31449,33,1,2022-12-24,40.498413,38.513027,33,1,2022-12-24,6.754742,50.059933,37.905434,33
1,2022-12-25,39.79929,20,1,2022-12-25,38.802418,20,1,2022-12-25,36.33985,36.48993,20,1,2022-12-25,6.75465,50.889057,37.76798,20
1,2022-12-26,34.606895,18,1,2022-12-26,39.84857,18,1,2022-12-26,36.976425,38.424744,18,1,2022-12-26,6.754568,49.381584,39.047234,18
1,2022-12-27,58.359283,16,1,2022-12-27,40.204304,16,1,2022-12-27,36.998425,38.00904,16,1,2022-12-27,6.75594,48.728794,39.03029,16
